,Sign,Movement,Number of Hands,Location,Handshape,id
0,DOG,repeated,1,torso,D,A_01_056
1,DOG,,,,,J_02_068
2,DOG,,,,,K_01_055
3,DOG,,,,,H_02_103
4,GIRAFFE,uni,1,throat to above head ,C,A_03_049
5,CAT,repeated,2,face,F,A_01_023
6,CAT,repeated,1,face,F,K_02_047
7,CAT,,,,,K_03_087
8,BEE,Uni,1,face,F,J_02_101
9,BEE,,,,,E_03_018
10,COW,uni,2,head,Y,A_01_033
11,TURTLE,repeated,2,in space,A and C,A_02_009
12,HORSE,repeated,2,side of head,closed 3,A_01_029
13,ELEPHANT,uni,1,nose to space,closed 5,A_02_059
14,RABBIT,repeated,2,side of head,closed 2/v,C_02_024
15,RABBIT,repeated,2,in space,closed 2/V,K_03_119
16,BEAR,repeated,2,torso,,D_03_063
17,PIG,repeated,1,under chin,,A_02_032
18,CROCODILE,repeated,2,in space,,D_01_081
19,DUCK,repeated,1,mouth,,K_02_068
20,DUCK,,1,,,D_01_079
21,SQUIRREL,repeated,2,in space ,,C_03_020
22,DEER,uni,2, headside,,A_03_060
23,ROOSTER,repeated,1,forehead,,A_03_051
24,LOBSTER,repeated,2,in space ,,D_01_072
25,LOBSTER,,,,,K_03_039
26,LOBSTER,,,,,K_01_051
27,TIGER,repeated,2,on face,,A_01_050
28,ZEBRA,repeated,2,headside and torso,,G_02_003
29,LION,,1,over head,,A_03_012
30,SNAKE,repeated,1,in space ,,A_01_043
31,SHARK,uni,1,forehead,,E_02_071
32,SHARK,repeated,2,in space ,,E_03_023
33,WHALE,repeated,1,in space ,,G_03_013
34,SHRIMP,repeated,1,in space ,,A_01_065
35,FISH,repeated,2,in space ,,A_03_040
36,MONKEY,repeated,2,body side,,A_01_016
37,HIPPO,repeated,2,in space ,,C_01_069
38,HIPPO,,,,,K_02_060
39,DONKEY,repeated,1,headside and torso,,J_01_012
40,FROG,repeated,1,under chin,,D_03_059
41,EGG,repeated,2,in space ,,A_03_011
42,PIZZA,repeated,1,in space to mouth,,G_01_013
43,PIZZA,repeated,,,,E_02_085
44,BACON,repeated,2,in space ,,A_03_073
45,SAUSAGE,repeated,2,in space,,F_03_088
46,TOAST,repeated,2,in space,,D_02_080
47,ONION,repeated,1,at eye,,A_03_038
48,MILK,repeated,1,in space,,A_01_051
49,MILK,repeated,2,in space,,K_03_070
50,CHEESE,repeated,2,in space,,A_02_021
51,SPAGHETTI,repeated,2,in space,,A_01_042
52,SALT,repeated,2,in space,,B_01_069
53,HAMBURGER,repeated,2,in space,,A_01_004
54,PEPPER,repeated,1,in space,,A_02_085
55,FRENCH FRIES,repeated,1,in space,,A_01_085
56,COFFEE,repeated,2,in space,,A_01_032
57,BREAD,repeated,2,in space,,A_02_058
58,TEA,repeated,2,in space,,A_02_052
59,SALAD,repeated,2,in space,,A_02_061
60,SANDWICH,repeated,2,in space,,A_01_015
61,SANDWICH,,,,,K_01_015
62,SANDWICH,,,,,K_03_072
63,SANDWICH,,,,,K_02_086
64,LETTUCE,uni,1,headside and torso,,A_01_083
65,LETTUCE,,,,,B_01_073
66,GRAPES,repeated,2,back of hand ,clawed 5 on closed 5,A_02_089
67,GRAPES,,,,,K_01_010
68,TOMATO,repeated,2,in space,O and D,D_02_087
69,STRAWBERRY,repeated,1,near mouth,F,A_01_068
70,STRAWBERRY,,,,,K_03_100
71,STRAWBERRY,,,,,K_01_009
72,STRAWBERRY,,,,,K_02_017
73,MEAT,uni,2,in space,closed 5 and F,D_02_022
74,MEAT,,,,,F_03_021
75,ORANGE,repeated,1,at mouth,O ,A_02_020
76,POTATO,repeated,2,in space,S and clawed V,A_03_050
77,BANANA,repeated,2,in space,1 and F,A_03_002
